Station_Name,total_trains,unique_trains
BARSOI JN.,92,92
GUMA,91,91
ASHOKNAGAR R,91,91
DELHI CANTT,91,91
BIRA,91,91
MIDNAPORE,91,91
ARSIKERE JN.,91,91
HABRA,91,91
DINDIGUL JN,90,90
ABADA,90,90
ANKLESHWAR J,90,90
KATWA JN.,90,90
CHITTARANJAN,90,90
GURGAON,89,89
BOLPUR,89,89
PHAGWARA JN.,89,89
GOOTY JN.,89,89
DAHOD,88,88
BETUL,88,88
TIRUNELVELI,87,79
DEORIA SADAR,87,87
RANCHI,87,87
BHOGPUR,87,87
MURI,87,87
MIRAJ JN.,86,86
NEW ALIPUR (,85,85
ROORKEE,85,85
TIRUVALANGAD,85,85
NAVSARI,85,85
NEW FARAKKA,85,85
FATUHA,85,85
BHATAPARA,84,84
KURUKSHETRA,84,84
TADEPALLI GU,84,84
SHAKUR BASTI,84,84
GULBARGA,84,84
ANANTAPUR,84,84
KODERMA,83,83
LAKE GARDENS,83,83
TOLLY GANJ,83,83
PIPARIYA,83,83
KASARAGOD,83,83
RAJPURA JN.,83,83
HARIDWAR JN,83,83
RAMGUNDAM,82,82
BATHINDA JN,82,82
CHANDRAPUR (,82,82
PARBHANI JN.,82,82
DEHRI-ON-SON,82,82
MALKAJGIRI,82,82
FAIZABAD JN.,82,82
SASARAM,82,82
LAKSHMIKANTA,81,81
RAE BARELI J,81,81
DELHI-SARAI,81,81
TUMKUR,80,80
TIRUR,80,80
AZIMGANJ JN.,80,80
FALNA,79,79
WIMCO NAGAR,79,79
KOPARGAON,79,79
ANDAL JN.,79,79
KATHIVAKKAM,79,79
BHAGALPUR,78,78
PURULIA JN.,78,78
ANUPPAMBATTU,78,78
ASANGAON,78,78
VASIND,78,78
KRISHNA NAGA,78,78
AMBIVLI,78,78
CHAKARADHARP,78,78
SHAHAD,78,78
MANGALORE JN,78,78
BANKURA,78,78
LUCKEESARAI,78,78
KHADAVALI,78,78
GODHRA JN.,77,77
LAKSAR JN.,77,77
WADI JN.,77,77
MIRZAPUR,77,77
MYSORE JN.,76,76
BALLIA,76,76
RAICHUR,76,76
NANDIYAMBAKK,76,76
AUNRIHAR JN.,76,76
NERAL,76,76
BALUGAN,75,75
MACHHALANDAP,75,75
TIRUTTANI,75,75
DELHI-KISHAN,75,75
